Timestamp,BMP_Temperature_C,BMP_Pressure_hPa,BMP_Altitude_m,DHT_Temperature_C,DHT_Humidity_percent,BH1750_Light_lx
2025-03-18 21:24:23.681797+00:00,2.2,771.535,2240.40283320569,2.7,86.5,2205.83333333333
2025-03-18 21:24:28.762103+00:00,2.2,771.58,2240.1952159992,2.7,87,2198.33333333333
2025-03-18 21:24:28.766476+00:00,2.2,771.48,2240.40283102677,2.7,87,2192.5
2025-03-18 21:24:34.885237+00:00,2.2,771.62,2239.57237963068,2.7,86.5,2198.125
2025-03-18 21:24:39.963842+00:00,2.2,771.485,2240.19521327568,2.7,86.5,2198.33333333333
2025-03-18 21:24:39.967902+00:00,2.2,771.45,2240.40283102677,2.7,88,2192.5
2025-03-18 21:24:46.359678+00:00,2.2,771.565,2240.50664317064,2.7,88,2203.125
2025-03-18 21:24:51.438249+00:00,2.3,771.58,2240.14330693144,2.7,87,2222.5
2025-03-18 21:24:51.441331+00:00,2.2,771.53,2240.61045531452,2.7,88,2196.25
2025-03-18 21:24:57.565940+00:00,2.2,771.59,2240.4028315715,2.7,87.5,2223.33333333333
2025-03-18 21:25:02.658752+00:00,2.2,771.525,2240.66236220359,2.7,87.5,2244.58333333333
2025-03-18 21:25:02.665326+00:00,2.2,771.56,2239.26097533514,2.7,88,2247.91666666667
2025-03-18 21:25:09.184099+00:00,2.2,771.53,2240.50664317064,2.7,88,2224.58333333333
2025-03-18 21:25:14.262487+00:00,2.2,771.65,2239.88379155118,2.7,88,2248.125
2025-03-18 21:25:14.265878+00:00,2.2,771.58,2241.12953510084,2.7,88,2237.91666666667
2025-03-18 21:25:20.384736+00:00,2.1,771.54,2240.2471168964,2.65,87,2222.70833333333
2025-03-18 21:25:25.470928+00:00,2.2,771.56,2240.09140331072,2.65,88,2243.75
2025-03-18 21:25:25.476244+00:00,2.2,771.58,2239.88378937251,2.6,88,2228.33333333333
2025-03-18 21:25:31.862954+00:00,2.2,771.54,2240.19521327568,2.6,88,2232.29166666667
2025-03-18 21:25:36.941301+00:00,2.1,771.54,2240.40283102677,2.6,87.5,2231.25
2025-03-18 21:25:36.945349+00:00,2.1,771.61,2240.29902051709,2.6,88,2246.25
2025-03-18 21:25:43.069122+00:00,2.1,771.555,2239.83188793045,2.6,87.5,2237.08333333333
2025-03-18 21:25:48.161796+00:00,2.1,771.495,2240.14331019964,2.6,89,2205.83333333333
2025-03-18 21:25:48.171211+00:00,2.1,771.52,2240.61045531452,2.6,89,2155
2025-03-18 21:25:49.473667+00:00,2.1,771.52,2240.92189991757,2.6,89,2199.16666666667
2025-03-18 21:25:50.600962+00:00,2.1,771.53,2241.54481854327,2.6,87,2170.41666666667
2025-03-18 21:25:53.177436+00:00,2.1,771.57,2240.29902051709,2.6,89,2163.33333333333
2025-03-18 21:25:55.288836+00:00,2.1,771.57,2240.92189991757,2.6,89,2160.41666666667
2025-03-18 21:25:57.399849+00:00,2.1,771.43,2241.54481854327,2.6,89,2153.33333333333
2025-03-18 21:25:59.516409+00:00,2.1,771.42,2241.8562925673,2.6,88,2150.41666666667
2025-03-18 21:26:04.827045+00:00,2.1,771.57,2239.88378937251,2.6,89,2140
2025-03-18 21:26:12.507713+00:00,2.1,771.59,2240.45477604741,2.6,88,2132.29166666667
2025-03-18 21:26:17.587513+00:00,2.1,771.525,2240.87000283472,2.5,88,2102.70833333333
2025-03-18 21:26:17.592757+00:00,2.1,771.45,2241.64864212817,2.5,88,2068.33333333333
2025-03-18 21:26:23.968038+00:00,2.05,771.46,2241.12953510084,2.5,89,2060.83333333333
2025-03-18 21:26:29.047399+00:00,2,771.5,2241.44099822754,2.5,89,2050.83333333333
2025-03-18 21:26:29.050677+00:00,2,771.44,2241.23335432692,2.5,89,2070
2025-03-18 21:26:35.186623+00:00,2,771.44,2241.44099604811,2.5,88.5,2045.625
2025-03-18 21:26:40.266718+00:00,2,771.45,2241.02571914362,2.5,89,2036.66666666667
2025-03-18 21:26:40.271222+00:00,2,771.51,2240.71426909266,2.5,88,2039.58333333333
2025-03-18 21:26:46.646555+00:00,2,771.525,2240.71426963742,2.5,88.5,2026.45833333333
2025-03-18 21:26:51.725283+00:00,2,771.435,2241.18144580353,2.5,89,2015.625
2025-03-18 21:26:51.732762+00:00,2.1,771.54,2239.88378937251,2.5,89,2020
2025-03-18 21:26:57.868207+00:00,2.05,771.53,2240.40283102677,2.5,89.5,2043.75
2025-03-18 21:27:02.948305+00:00,2,771.59,2240.973819337,2.5,89,2093.54166666667
2025-03-18 21:27:02.952441+00:00,1.9,771.57,2240.81808396033,2.5,90,2107.5
2025-03-18 21:27:09.327834+00:00,1.9,771.435,2241.59673142547,2.5,89.5,2058.33333333333
2025-03-18 21:27:14.406334+00:00,1.9,771.47,2241.33718826381,2.5,90,2054.58333333333
2025-03-18 21:27:14.411191+00:00,1.9,771.53,2240.71426909266,2.5,89,2054.16666666667
2025-03-18 21:27:20.546636+00:00,1.9,771.525,2240.76617761604,2.5,90,2038.125
2025-03-18 21:27:25.626932+00:00,1.9,771.46,2240.86999193895,2.5,90,2049.375
2025-03-18 21:27:25.632283+00:00,2,771.5,2241.75246680284,2.5,89,2059.16666666667
2025-03-18 21:27:32.007794+00:00,2,771.505,2241.23336794775,2.4,89,2028.95833333333
2025-03-18 21:27:37.086205+00:00,2,771.485,2240.66236220359,2.4,89,2052.08333333333
2025-03-18 21:27:37.089416+00:00,1.9,771.43,2240.92189991757,2.4,89,2044.16666666667
